timestamp,C1 - T1 - AC - CAC01 - Debit Air,C1 - T1 - AC - CAC02 - Debit Air,C1 - T1 - AC - CAC03 - Debit Air,C1 - T1 - AC - CAC04 - Debit Air,C1 - T1 - ELE - TGT070232 - PUISSANCE,C1 - T1 - ELE - TGT1120136 - PUISSANCE
1/15/2018 8:20,428.9431751,1492.330727,21.33825261,1414.011024,292.6918666,144.7393572
1/15/2018 8:30,405.2850123,1491.237228,21.38078762,1409.945397,291.3149334,144.4363191
1/15/2018 8:40,428.466438,1491.13887,21.60054956,1406.590475,279.8885333,144.3222197
1/15/2018 8:50,506.2190246,1492.128686,21.7937284,1406.298048,284.7492,144.3369422
1/15/2018 9:00,592.2906901,1482.564573,21.75119341,1399.960387,292.7562666,144.133281
1/15/2018 9:10,649.7285176,1481.097129,21.70334177,1399.2692,297.2336,144.280506
1/15/2018 9:20,747.5823028,1476.384636,21.79372827,1395.279797,305.4814,144.5479647
1/15/2018 9:30,644.2601426,1476.103738,21.87170871,1393.130878,296.9100667,144.1774485
1/15/2018 9:40,638.8724145,1470.423575,21.93108009,1395.382581,294.9780667,144.2461535
1/15/2018 9:50,765.9156488,1465.638423,21.83094625,1388.982868,310.3374667,144.4853941
1/15/2018 10:00,733.5041978,1460.688447,21.79815877,1383.849464,333.8404,144.1492304
1/15/2018 10:10,908.5035528,1453.27854,21.83271856,1379.816641,345.4385333,144.5185197
1/15/2018 10:20,818.5842758,1451.844764,21.95589195,1381.364728,336.8518667,144.6326191
1/15/2018 10:30,882.3704066,1447.616099,22.08792664,1376.560062,339.7514,144.3749753
1/15/2018 10:40,919.2586533,1444.643103,22.21198616,1372.689423,343.7150667,144.4056472
1/15/2018 10:50,988.0062733,1440.23545,22.32009538,1364.789471,350.0753333,144.545511
1/15/2018 11:00,983.0695968,1436.558853,22.3369321,1362.021178,347.8029333,144.4485879
1/15/2018 11:10,720.5426213,1469.907843,21.39053445,1387.919506,325.2736666,144.4350922
1/15/2018 11:20,808.2306161,1484.21547,19.93903694,1398.320123,308.9099333,144.5209735
1/15/2018 11:30,991.5472885,1480.88622,19.76801237,1399.732642,322.2591333,144.6547029
1/15/2018 11:40,1020.187334,1482.004535,19.86903197,1400.63473,323.5456,144.7528529
1/15/2018 11:50,1051.442376,1482.209244,19.93903694,1399.387044,327.1934,144.7847516
1/15/2018 12:00,1091.082073,1478.35187,20.06575508,1392.218164,331.9344667,144.7037779
1/15/2018 12:10,1085.378893,1479.954008,20.0817057,1392.993543,330.8136,144.7185004
1/15/2018 12:20,993.8796015,1485.475548,20.07550266,1398.268729,323.2282,144.5307885
1/15/2018 12:30,923.0176503,1485.795444,20.19956241,1399.878845,316.5367334,144.476806
1/15/2018 12:40,1026.407157,1481.796291,20.1694337,1398.609909,324.3950667,144.7626679
1/15/2018 12:50,922.4345672,1484.977538,20.11360684,1403.060985,318.8168,144.5332422
1/15/2018 13:00,785.6889857,1486.324463,20.21728539,1402.980339,307.5805333,144.4461341
1/15/2018 13:10,610.0276719,1495.47918,20.21196876,1410.523158,290.6188,144.0081397
1/15/2018 13:20,853.1889271,1486.000147,20.27222632,1402.935139,310.9891333,144.3602529
1/15/2018 13:30,953.2589584,1476.936698,20.55401777,1396.164146,320.643,144.4829403
1/15/2018 13:40,833.4448425,1474.853384,20.46540406,1398.813713,310.5843333,144.3663872
1/15/2018 13:50,512.2518605,1484.742698,20.33868644,1404.215627,282.7727333,144.1062897
1/15/2018 14:00,462.9904539,1486.376746,20.35995382,1407.738909,277.8691333,144.005686
1/15/2018 14:10,508.8021177,1489.896505,20.36970172,1405.408374,282.6439333,144.1197853
1/15/2018 14:20,418.8784011,1493.088375,20.4973049,1406.345906,274.3194667,143.8179741
1/15/2018 14:30,747.6115473,1478.870261,20.5159139,1397.873515,302.6401333,144.2387922
1/15/2018 14:40,1024.326497,1466.708888,20.52388916,1384.33064,327.0354667,144.6620641
1/15/2018 14:50,953.283764,1466.523671,20.6966869,1387.093621,324.2448,144.6007204
1/15/2018 15:00,875.2325521,1468.343807,20.65237973,1388.845524,318.4258,144.5577798
1/15/2018 15:10,888.9003755,1467.022571,20.76846452,1385.382484,319.5804,144.525881
1/15/2018 15:20,700.9518478,1473.211377,20.77909821,1388.792349,303.071,144.0977016
1/15/2018 15:30,717.8071122,1470.814356,20.86150935,1389.000583,304.1995333,143.9333004
1/15/2018 15:40,805.4747184,1467.429316,20.84733105,1384.123281,311.7328,144.192171
1/15/2018 15:50,902.978474,1464.916217,20.86682618,1381.321311,319.9085333,144.3872441
1/15/2018 16:00,972.1842489,1463.251169,20.87923212,1381.971736,325.1402666,144.8289191
1/15/2018 16:10,978.3074779,1459.840407,20.85087566,1375.100605,323.8139333,144.3320347
1/15/2018 16:20,958.7273267,1460.636148,20.86416764,1376.490953,323.1009333,144.466991
1/15/2018 16:30,834.608344,1459.995468,20.87391526,1379.009375,313.7936,144.3209929
1/15/2018 16:40,756.1246885,1459.694187,20.86505391,1381.389537,305.9782,144.2326579
1/15/2018 16:50,682.4926524,1463.031393,20.80745476,1382.817989,300.0472667,144.094021
1/15/2018 17:00,689.3859405,1465.052671,20.83226679,1384.546856,301.4272667,144.3344885
1/15/2018 17:10,643.5981946,1468.19759,20.7844152,1386.643463,297.5326,144.1676335
1/15/2018 17:20,604.6434857,1467.297262,20.79504873,1388.384723,293.4370667,144.0719372
1/15/2018 17:30,579.9937244,1469.016392,20.81543004,1389.107827,292.4710667,163.7902731
1/15/2018 17:40,382.2781581,1474.127634,20.8934103,1394.515928,272.6312667,168.7615707
1/15/2018 17:50,355.2074646,1474.730204,20.91290538,1392.767585,268.9006667,168.2953582
1/15/2018 18:00,352.7998235,1459.312259,20.94126177,1374.987188,269.8743333,168.3407526
1/15/2018 18:10,1169.968941,1475.432044,20.93683108,494.7851576,325.1770666,82.10247841
1/15/2018 18:20,1793.598844,1486.300551,20.82960828,14.19064655,369.449,35.93762399
1/15/2018 18:30,1918.558777,1482.677128,20.82872217,14.34483507,377.6661333,35.85665023
1/15/2018 18:40,2068.216321,1481.345241,20.88986578,14.40863714,386.6039333,36.02473212
1/15/2018 18:50,2239.211198,1479.110417,20.88454892,14.46889464,397.2728667,35.49594897
1/15/2018 19:00,2228.931962,1472.487402,20.93151428,14.50522656,396.2547333,35.85174274
1/15/2018 19:10,2183.116746,1478.352756,20.90404399,14.5025681,392.5563334,24.92151291
1/15/2018 19:20,2332.81862,1481.55881,20.74985547,14.54953366,400.5419334,1.172892549
1/15/2018 19:30,2310.099744,1480.194148,20.48046838,14.61776657,397.6730667,1.242824427
1/15/2018 19:40,2119.529138,1488.505265,20.34488961,14.70815274,386.2374667,1.2047913
1/15/2018 19:50,2255.606563,1488.587671,20.22348849,14.88892448,393.2524667,1.366738807
1/15/2018 20:00,2483.800901,1482.525594,20.11183456,15.07501434,406.8056,1.183934424
1/15/2018 20:10,1749.989237,1483.413511,950.537625,15.23274697,361.7777333,92.57017634
1/15/2018 20:20,736.8343146,1472.269408,1612.285736,15.51276743,299.7452,142.7751303
1/15/2018 20:30,762.2620924,1462.046003,1609.830249,15.28502931,303.1814,142.6426278
1/15/2018 20:40,738.600383,1456.838157,1610.431925,15.02273198,301.4809333,142.5358897
1/15/2018 20:50,697.807813,1458.870074,1606.765088,14.79233574,296.7812667,142.7162403
1/15/2018 21:00,692.5973076,1450.588225,1595.385274,14.59118229,295.9609333,141.9899302
1/15/2018 21:10,644.8024653,1454.113284,1601.844343,14.32534008,293.0828667,141.9862496
1/15/2018 21:20,700.6009353,1452.380875,1602.833287,14.20659714,297.2412667,142.3420434
1/15/2018 21:30,831.4625512,1446.386147,1592.102122,13.95670572,308.3870667,142.2721115
1/15/2018 21:40,799.9478663,1447.222656,1600.033077,13.77504721,305.7236667,142.4561428
1/15/2018 21:50,729.7620275,1448.944416,1603.770832,13.58984409,300.2696,142.2316246
1/15/2018 22:00,649.1720225,1447.335184,1594.612556,13.34438309,292.0846667,141.7776809
1/15/2018 22:10,580.524525,1451.534615,1603.46865,13.1999424,285.7535333,142.0046528
1/15/2018 22:20,557.0790304,1453.614386,1603.992348,13.08385774,284.2662,141.845159
1/15/2018 22:30,598.4431579,1452.309976,1604.197949,12.95182285,287.2945334,141.8206215
1/15/2018 22:40,659.4547851,1447.770294,1601.626348,12.81269909,292.928,142.041459
1/15/2018 22:50,790.5592105,1447.079988,1603.114187,12.75687231,303.9465333,142.2991028
1/15/2018 23:00,926.4815794,1443.370606,1596.7703,12.65230738,314.0772667,142.335909
1/15/2018 23:10,719.1602514,1446.994929,1603.661816,12.59913888,298.0094666,142.0206021
1/15/2018 23:20,562.5544921,1450.331232,1607.100038,12.52736166,283.8874666,141.953124
1/15/2018 23:30,474.0025173,1455.947596,1610.432816,12.50432204,276.4400667,142.0291903
1/15/2018 23:40,472.3977173,1455.541737,1609.628202,12.5397676,275.7224667,142.0169215
1/15/2018 23:50,509.1751865,1454.761928,1612.066866,12.48039634,280.0388,142.0942147
1/16/2018 0:00,513.7556447,1453.952007,1611.333131,12.45381207,279.4622667,141.845159
1/16/2018 0:10,554.2230044,1450.75658,1611.590111,12.38469284,284.3183333,141.8083528
1/16/2018 0:20,456.5827734,1451.656013,1615.50951,12.37760373,274.505,141.8488396
1/16/2018 0:30,484.755822,1450.865576,1615.2304,12.30582622,276.8157333,142.0181484
1/16/2018 0:40,722.5337824,1442.343563,1603.930323,12.33241056,299.0552,142.5395703
1/16/2018 0:50,635.592804,1447.692317,1607.519168,12.25531634,307.7369333,142.1825497
1/16/2018 1:00,582.4944163,1449.758789,1607.732754,12.24025207,320.7794666,141.9617121
1/16/2018 1:10,580.073472,1448.623646,1603.436751,12.21987098,315.7639333,142.0107871
1/16/2018 1:20,568.0866623,1449.133186,1603.499647,12.20657899,313.6264667,141.9678465
1/16/2018 1:30,608.0436031,1445.686975,1604.321999,12.23936588,315.6903334,142.1580121
1/16/2018 1:40,757.0817282,1433.450271,1598.774753,12.17467817,329.8767333,142.1948184
1/16/2018 1:50,765.6675348,1429.502522,1597.560744,12.04352908,331.3794,142.6119559
1/16/2018 2:00,789.2432933,1426.013785,1598.580699,12.02137513,333.3252,142.2635234
1/16/2018 2:10,774.5289352,1430.640325,1596.500045,12.02314763,315.5232,142.2806997
1/16/2018 2:20,749.6151128,1432.838824,1599.955976,11.91946956,306.1698667,142.2132215
1/16/2018 2:30,689.2361863,1435.249129,1601.740674,11.91238062,301.0792,141.894234
1/16/2018 2:40,723.835522,1433.490153,1595.487185,11.9026331,302.7306,142.1457434
1/16/2018 2:50,796.4201412,1433.658509,1599.431395,11.82110848,308.3717334,142.1064834
1/16/2018 3:00,780.5662028,1434.173374,1597.261221,11.82288078,308.0482,142.2598428
1/16/2018 3:10,866.8939829,1433.677992,1592.393672,11.78389069,313.4532,142.3788497
1/16/2018 3:20,927.8896464,1430.238012,1596.251915,11.82022235,316.5413333,142.3972528
1/16/2018 3:30,966.852355,1429.91546,1597.523523,11.81579167,320.3348,142.2782459
1/16/2018 3:40,449.8835561,1445.974968,1607.838196,11.78034614,273.0391333,141.5813809
1/16/2018 3:50,443.8985665,1444.593482,1609.318944,11.78654911,273.5098667,141.6353634
1/16/2018 4:00,407.8592493,1448.301966,1608.260003,11.76085108,268.9865334,141.5691121
1/16/2018 4:10,362.8920667,1449.905004,1616.358444,11.76705402,263.9740667,141.5139027
1/16/2018 4:20,512.2952815,1444.142427,1606.133252,11.79097978,279.7612667,141.4954996
1/16/2018 4:30,632.5311921,1439.311199,1609.56972,11.83705897,319.4562,141.8880996
1/16/2018 4:40,691.1201197,1437.049772,1608.228099,11.84680649,319.1664,141.8758309
1/16/2018 4:50,680.4279477,1436.700628,1606.931679,11.82996987,317.9090666,142.0696771
1/16/2018 5:00,671.3148847,1437.241177,1603.826646,11.83351442,316.5766,141.8574278
1/16/2018 5:10,658.0981095,1436.485296,1607.929475,11.86541537,315.2686667,141.9617121
